Samskrit Word	Samskrit_GenderTelugu	Telugu_Word	Telugu _Gender																						
awyanwa	puM	awyaMwamu	napuM																						
Awyanwika	puM	awyaXikamu^aMwamu_lenixi	napuM																						
awyarWa	puM	awyaXikamu^awyanwamu	napuM																						
awyuRNa	puM:napuM	eVkkuva_vedi^xahiMcunaxi	napuM:napuM																						
aXamA	swrI	aXamurAlu	swrI																						
aXama	puM:napuM	aXamudu	puM:puM																						
axamBin	napuM	kapatamu_lekapovadaM	napuM																						
aXarma	puM	aXarmamu	napuM																						
AxarSa	puM	AxarSamu	napuM																						
axBuwa	napuM:puM	axBuwamu	napuM:napuM																						
Axi	puM:napuM	Axi^moVxalagu	napuM:napuM																						
aXiBUwa	napuM	parabraHmA^brahmamu	napuM																						
aXika	napuM:puM	aXikamu	napuM:napuM																						
aXikAra	puM	aXikAramu	napuM																						
Axin	puM:vi	BujiMcevAdu	puM																						
aXipa	puM	aXipawi	puM																						
AXipawya	napuM	Axipawyamu	napuM																						
aXiRTAna	napuM	AkramiMcuta^sWiramuga_uMduta	napuM																						
Axiwya	puM:puM	Axiwya	napuM:napuM																						
Axiwyavaw	puM:napuM	Axiwyudi_lAgA	puM:napuM																						
aXixEva	puM	aXixevawa	puM																						
aXixEvawa	napuM	aXixevawa	puM																						
aXiyajFa	puM:napuM	muKya_yAgamu	napuM:napuM																						
Axya	napuM:puM	Axyamu	napuM:napuM																						
aXyakRa	napuM:puM	aXyakRudu^aXikAri	puM:puM																						
aXyAwma	napuM:puM	aXyAwma^Awma_saMbaMXamEna	napuM:napuM																						
ayajFa	puM	yajFamu_kAnixi	napuM																						
ayana	napuM	ayanamu^gamanamu^mArgamu	napuM																						
AyAsa	napuM:puM	prayAsa^prayawnamu^Srama	napuM:napuM																						
ayawi	puM	yawi_kAnivAdu	puM																						
ayoga	puM	veru_ceyadaM^ayogyawa	napuM																						
Ayus	napuM	Ayuvu^jIviwa_kAlamu^AyuRRu	napuM																						
AyuXa	napuM	AyuXamu	napuM																						
BAga	napuM:puM	BAgamu	napuM:napuM																						
Bagavaw	napuM:puM	BagavaMwudu^ISvarudu	puM:puM																						
bAhu	puM	Bujamu	napuM																						
bahula	puM:napuM	bahulamu	napuM:napuM																						
bahuviXa	napuM:puM	bahuviXamuluga	napuM:napuM																						
bAhya	napuM:puM	bAhyamu^veVlupala	napuM:napuM																						
Bakwa	puM	Bakwudu	puM																						
Bakwi	swrI	Bakwi	napuM																						
Bakwimaw	puM	Bakwudu^Bakwi_kalavAdu	puM																						
bala	napuM:puM	balamu	napuM:napuM																						
bAla	napuM:puM	bAla^bAludu	puM:puM																						
bala	napuM:puM	balamu	napuM:napuM																						
banXa	puM	baMXamu^baMXanamu^SarIraM	napuM																						
banXana	napuM	banXanaM^kattu	napuM																						
banXu	puM	baMXuvu	puM																						
BARA	swrI	BARa	napuM																						
BArawa	napuM	BArawa^Barawa_xeSaM	napuM																						
BarawarRaBa	puM	BarawarRaBa^BarawaxeSa_rAju	puM																						
Barawasawwama	puM	Barawasawwama^BarawaSreRTa	puM																						
BarawaSreRTa	puM	Barawa_SreRTudu	puM																						
Barwq	puM	Barwa^rAju^praBuvu	puM																						
BAva	puM	BAvaM^manovikAramu	napuM																						
Bava	puM	Bava^prApwi^janmamu	napuM																						
BAvanA	swrI	BAvana^Alocana	napuM																						
Bavana	napuM	Bavanam	napuM																						
Bavaw	napuM:puM	jarugunaxi^uMdunaxi	napuM:napuM																						
BaviRya	puM	BaviRya^kAgalaxi	napuM																						
bawa	puM	Sokamu^xuHKamu^AScaryamu	napuM																						
Baya	napuM	Bayamu	napuM																						
BayAnaka	puM:napuM	BayAnakamu^BayaMkaramu	napuM:napuM																						
BayAvaha	puM	BayAvaha^Bayamunu_kaligiMcunaxi	napuM																						
BEkRya	napuM	BikRa^BikRA_samUhamu	napuM																						
BerI	swrI	BerI	napuM																						
