Samskrit Word,Samskrit_GenderTelugu,Telugu_Word,Telugu _Gender
axBuwa,napuM:puM,axBuwamu,napuM:puM
xarSana,napuM,xarSanamu,napuM
uxara,napuM:puM:swrI,uxaramu^poVtta,napuM:puM:swrI
vakwra,napuM:puM,muKamu,napuM:puM
newra,napuM,newramu^kannu,napuM
ciwwa,napuM:puM,ciwwamu,napuM:puM
viBrAnwa,,BrAMwi_kaliginaxi,
janman,napuM,janmamu^uwpawwi,napuM
saMsixXa,napuM:puM,sVaBAvikamEnaxi,napuM:puM
nayana,napuM,nayanamu^kannu,napuM
aneka-varNa,,,
xivya,napuM:puM,xivyamu^xivyamEna,napuM:puM
ABaraNa,,ABaraNamu,
anekaXA,,aneka_viXamuluga,
anikewa,vi,snyAsi^nivAsa_hInudu,vi
anirviNNa,,xuHKamu_lenivAdu^viSrAMwi_lenivAdu,
anirxeSya,vi,anirxeSyamu^nirxeSiMcalenixi,vi
aniwya,vi,aniwyamu,vi
aniyawa,vi,niyamamu_lenixi,vi
anna,napuM,annamu^AhAramu,napuM
anna-samBava,,saMBavamu^janmamu^uwpawwi,
sanwawa,napuM:puM,eVllappudu^niraMwaramu^niwyamu^aXikamu^viswIrNamEnaxi,napuM:puM
anu_SAs1,,,
anu_Sru1,,,
anu_Suc1,,,
anu_Xi1,,,
anu_cinw1,,,
anu_iR2,,,
anu_man1,,,
anu_raFj2,,,
anu_sWA1,,,
anu_sasj1,,,
anu_smq1,,,
anu_vqw1,,,
anu_xqS1,,,
anubanXa,puM,anubaMXamu^pASamu,puM
anukampA,swrI,karuNa^xaya,swrI
anuprapanna,puM,anusariMcuta,puM
anuwwamA,swrI,SreRTurAlu^sarvowwamurAlu,swrI
anuwwama,puM,SreRTudu^sarvowwamudu,puM
anviwa,vi,anusariMcuta,vi
anwa,napuM:puM,anwamu,napuM:puM
anwa-gam1,,,
kAla,napuM:puM,kAlamu^samayamu,napuM:puM
anwa-sWa,,,
anwaH,,anwamu^lopala^civara,
anwaH-SarIra-sWa,,,
anwar,,maXyalo^lopala,
ArAma,,wota^upavanamu^AnaMxamu,
jyowi,,jyowi,
anwar-suKa,,,
anwarAwman,puM,aMwarAwma^paramAwma,puM
anwara,,aMwaramu^samIpamu^lopala^,
anwavaw,puM,aMwamuvaleV^anwamu,puM
anwika,napuM:puM,samIpamu^anwamu,napuM:puM
anyA,swrI,anyamu^veru^iwaramu^Binnamu,swrI
anyAya,puM,anyAyamu^nyAyamu_lenixi,puM
anya,napuM:puM,anyamu^veru^iwaramu^Binnamu,napuM:puM
xevawA,swrI,xevawa,swrI
anyaWA,,vere_viXamuga,
anyawra,,vere_cotu^vere_praxeSamu,
ap,swrI,jalamu,swrI
apAna,,apAna_vAyuvu,
apAwra,puM,apAwrudu^xAnamunaku_pAwrudu_kAnivAdu,puM
apESuna,napuM,sawyamu^nyAya_buxXi,napuM
apa_Af_vq2,,,
